gr_year,squirrel_id,N
KL_2011,12678,30
KL_2011,11841,80
KL_2011,12620,44
KL_2011,12007,22
KL_2011,12423,91
KL_2011,12827,88
KL_2011,12445,22
KL_2011,11895,30
KL_2011,12426,232
SU_2011,10191,31
SU_2011,11952,32
SU_2011,13667,94
SU_2011,11976,101
SU_2011,12432,75
SU_2011,11084,60
SU_2011,11536,80
SU_2011,12524,27
SU_2011,12462,153
SU_2011,12435,76
SU_2011,11577,88
SU_2011,12526,23
SU_2011,11953,25
SU_2011,11722,73
SU_2011,12026,34
SU_2011,11944,47
KL_2012,10374,29
KL_2012,10993,26
KL_2012,10995,59
KL_2012,11489,50
KL_2012,11537,41
KL_2012,11896,33
KL_2012,11897,29
KL_2012,12876,35
KL_2012,10046,35
KL_2012,10318,38
KL_2012,11256,35
KL_2012,11266,25
KL_2012,11622,42
KL_2012,11775,44
KL_2012,12190,28
KL_2012,12303,29
KL_2012,12620,22
KL_2012,12678,27
KL_2012,12824,38
KL_2012,12827,25
KL_2012,13039,25
KL_2012,13185,36
KL_2012,10818,24
KL_2012,11841,26
KL_2012,12422,45
KL_2012,12423,39
KL_2012,12623,29
KL_2012,12703,34
KL_2012,10182,31
KL_2012,10342,41
KL_2012,10994,25
KL_2012,11220,47
KL_2012,11272,23
KL_2012,11344,29
KL_2012,11895,28
KL_2012,12625,36
KL_2012,12657,25
KL_2012,13084,40
KL_2012,13012,27
KL_2012,12305,22
KL_2012,12513,24
KL_2012,13010,24
KL_2012,12613,26
KL_2012,12626,29
KL_2012,12202,28
KL_2012,13147,38
KL_2012,19257,23
SU_2012,10654,30
SU_2012,11576,27
SU_2012,11952,32
SU_2012,11976,37
SU_2012,12140,22
SU_2012,12522,25
SU_2012,13130,22
SU_2012,12026,35
SU_2012,13667,23
SU_2012,19267,33
SU_2012,12432,26
SU_2012,12435,30
SU_2012,13097,24
SU_2012,12180,22
SU_2012,12003,27
SU_2012,12462,27
KL_2013,12513,32
KL_2013,11537,31
KL_2013,12363,79
KL_2013,10318,71
KL_2013,13010,28
KL_2013,11614,25
KL_2013,13288,45
KL_2013,13012,36
KL_2013,12933,69
KL_2013,13185,32
KL_2013,10046,38
KL_2013,12018,73
KL_2013,12705,95
KL_2013,12657,117
KL_2013,12210,67
KL_2013,13039,122
KL_2013,12629,50
KL_2013,13535,22
KL_2013,11897,24
KL_2013,11896,36
KL_2013,11945,101
KL_2013,13084,37
KL_2013,10995,42
KL_2013,13287,33
KL_2013,13305,32
KL_2013,12007,77
KL_2013,11775,41
KL_2013,11460,113
KL_2013,10342,65
KL_2013,12703,27
KL_2013,13646,27
KL_2013,11895,24
KL_2013,12012,36
KL_2013,12625,37
KL_2013,19257,36
KL_2013,12576,69
KL_2013,12285,37
KL_2013,11220,47
